date,type,y
2017-01-01,A,-10.194627714285712
2017-01-01,C,-17.35309842857143
2017-01-01,E,-11.278371142857145
2017-01-01,G,-15.184766142857143
2017-01-01,H,82.0538624285715
2017-01-01,J,543.8976285714283
2017-01-01,U,55.818887571428526
2017-01-02,A,-10.619021428571427
2017-01-02,C,-17.48087257142857
2017-01-02,E,-11.447374428571424
2017-01-02,G,-14.783935714285715
2017-01-02,H,69.47672299999999
2017-01-02,J,526.0602142857142
2017-01-02,U,55.98674757142859
2017-01-03,A,-9.169940571428574
2017-01-03,C,-17.381958285714287
2017-01-03,E,-9.740154857142855
2017-01-03,G,-14.92258042857143
2017-01-03,H,67.59631457142855
2017-01-03,J,530.5009571428568
2017-01-03,U,63.66510271428571
2017-01-04,A,-7.221818714285711
2017-01-04,C,-17.44233357142857
2017-01-04,E,-10.273597285714285
2017-01-04,G,-15.054086285714286
2017-01-04,H,89.69516914285717
2017-01-04,J,595.4407714285715
2017-01-04,U,61.12004785714282
2017-01-05,A,-8.079707428571428
2017-01-05,C,-17.314621714285714
2017-01-05,E,-11.626306999999997
2017-01-05,G,-15.034382000000003
2017-01-05,H,91.9388682857143
2017-01-05,J,562.1811428571431
2017-01-05,U,64.98812871428576
2017-01-06,A,-12.53451557142857
2017-01-06,C,-17.493321142857145
2017-01-06,E,-11.741304999999999
2017-01-06,G,-15.345213857142857
2017-01-06,H,66.49862042857141
2017-01-06,J,596.0410714285716
2017-01-06,U,85.47224214285718
2017-01-07,A,-13.659861142857142
2017-01-07,C,-17.508677285714285
2017-01-07,E,-13.189900428571432
2017-01-07,G,-17.101847
2017-01-07,H,53.02145699999995
2017-01-07,J,443.6001428571429
2017-01-07,U,74.67754228571428
2017-01-08,A,16.376943285714276
2017-01-08,C,-17.39384814285714
2017-01-08,E,-4.334364714285708
2017-01-08,G,-12.344743428571432
2017-01-08,H,235.19734228571426
2017-01-08,J,2549.721085714286
2017-01-08,U,139.96960014285702
2017-01-09,A,-3.972913142857142
2017-01-09,C,-17.41547
2017-01-09,E,-10.227255714285715
2017-01-09,G,-14.173567142857141
2017-01-09,H,101.13372728571426
2017-01-09,J,1050.867828571429
2017-01-09,U,91.74016185714285
2017-01-10,A,-6.20142214285714
2017-01-10,C,-17.248350428571428
2017-01-10,E,-9.704120000000001
2017-01-10,G,-14.466427285714285
2017-01-10,H,80.56697542857144
2017-01-10,J,924.2552714285712
2017-01-10,U,83.98469114285716
